,autosamples,automin,automean,automax,factor
122,49200,3155.4718964492117,3388.14978606637,3554.195674195294,40
123,49600,3181.7055020389444,3415.4478904111706,3583.1483049108233,40
124,50000,3207.9530183181073,3442.840808518154,3612.0714883754677,40
125,50400,3233.6953394919306,3470.2814101856097,3641.2530666946604,40
126,50800,3259.511627513163,3497.837904493606,3670.4663090342924,40
127,51200,3285.3960329281786,3525.3947744148036,3699.5007602841047,40
128,51600,3311.7591157902702,3552.9881325649235,3727.878700035721,40
129,52000,3336.0407479749542,3580.218901736189,3756.377520362651,40
130,52400,3361.2818091994477,3607.630987359667,3784.955682515572,40
131,52800,3387.54781529012,3635.3479427979087,3813.4329392924465,40
132,53200,3412.4552398962746,3662.847243321146,3841.8298210823123,40
133,53600,3436.5769204403464,3690.03853621267,3870.11945056301,40
134,54000,3461.520511052605,3717.3681286965984,3898.519391358993,40
135,54400,3487.3699748522567,3744.8681480723276,3926.6904049068025,40
136,54800,3513.117833519619,3772.6574683993626,3955.4165273490216,40
137,55200,3538.859566169265,3800.6234520260946,3984.092551728175,40
138,55600,3564.644611170001,3828.604413279972,4012.5456523585717,40
139,56000,3590.5365044935434,3856.3341165135416,4041.2775386081594,40
140,56400,3616.493421174428,3884.034374873297,4069.977648875048,40
141,56800,3642.2038514355822,3911.5187137785856,4098.33163225946,40
142,57200,3668.0468954597354,3939.0482727207454,4126.842441940379,40
143,57600,3694.9396651451466,3966.8577804209926,4155.854686814712,40
144,58000,3723.182299503801,3994.8775639942273,4185.0756685861725,40
145,58400,3749.2995059847926,4022.525916830492,4214.204386635888,40
146,58800,3776.3899861923483,4050.425527258592,4243.127263006767,40
147,59200,3803.855814786713,4078.3079044102706,4271.975263599484,40
148,59600,3830.8515321101195,4106.1333110350015,4300.612900032903,40
149,60000,3856.691244224162,4133.790169220507,4329.653690243048,40
150,60400,3880.8727517279676,4161.358343280111,4358.5700344731995,40
151,60800,3905.470145299966,4188.967161702544,4387.426588256653,40
152,61200,3930.1510350934914,4216.606477198414,4416.15189184683,40
153,61600,3956.4293536010478,4244.653218452019,4445.186475594045,40
154,62000,3982.4565848622237,4272.848876040815,4474.351989317142,40
155,62400,4008.436122884477,4300.754636331452,4503.414397788678,40
156,62800,4036.121379347917,4328.86464538806,4532.387862895091,40
157,63200,4063.655041714711,4356.98554381948,4561.469354226522,40
158,63600,4091.5162813905504,4384.980703323881,4590.502886272843,40
159,64000,4118.496099671153,4412.8827697833585,4619.530022889335,40
160,64400,4146.523803799942,4441.088947565909,4648.463533531806,40
161,64800,4173.646250842332,4469.288357493827,4677.741662286079,40
162,65200,4200.197546813817,4497.2719668351,4706.784473978221,40
163,65600,4227.369070602584,4525.297477199595,4735.691637787094,40
164,66000,4254.266947815924,4553.3622362688575,4764.703512985059,40
165,66400,4281.395241959948,4581.477101372974,4793.548593102863,40
166,66800,4308.083000598346,4609.562460950503,4822.357254766751,40
167,67200,4334.4452043653555,4637.410898876449,4851.275193324324,40
168,67600,4361.016220426339,4665.47316965143,4880.209648246813,40
169,68000,4388.345338517002,4693.758677879907,4909.017176696965,40
170,68400,4415.359942560183,4721.894308836709,4937.987371643326,40
171,68800,4442.911792225716,4749.936919439686,4966.956181329962,40
172,69200,4470.2995066634785,4778.062191183018,4995.997002427688,40
173,69600,4496.011659954128,4805.901899244738,5025.090062112873,40
174,70000,4521.34275062655,4833.762878927505,5054.263340048835,40
