,per1,tc1,secosw1,sesinw1,logk1,gamma_sophie,jit_sophie,lnprobability
0.159,523.8260831216991,8657.143813988407,-0.7928750381054895,-0.8627838911681478,4.467580428154001,21.102627461281074,9.919146015474505,
0.5,533.5821654753906,8704.966150930026,-0.7642634380204905,-0.223159862073454,4.539429856063549,24.47128900728384,9.985512600537174,-196.1127128438684
0.841,562.253867146823,8711.424350289164,-0.267556571535787,-0.12936376410907421,4.956079964007777,29.75157692196006,10.783806006403273,-192.8694350047535
