SOPHIE.2021-12-18T19:59:59.552_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-12-18T19:50:34.017    	
SOPHIE.2021-12-12T22:20:39.082_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-12-12T22:04:57.148    	
SOPHIE.2021-02-02T19:56:12.548_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-02-02T19:50:11.442    	
SOPHIE.2021-11-07T00:18:28.130_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-11-07T00:03:25.369    	
SOPHIE.2021-12-20T18:58:39.738_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-12-20T18:48:04.581    	
SOPHIE.2021-09-27T00:36:53.052_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-09-27T00:25:49.360    	
SOPHIE.2020-10-18T23:17:59.950_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-10-18T23:11:26.231    	
SOPHIE.2020-08-20T02:49:10.655_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-08-20T02:44:02.768    	
SOPHIE.2020-08-20T02:49:10.655_newccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-08-20T02:44:02.768    	
SOPHIE.2021-11-16T02:55:41.091_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-11-16T02:42:31.151    	
SOPHIE.2021-11-12T20:14:09.755_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-11-12T19:53:52.805    	
SOPHIE.2021-09-20T03:48:53.101_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-09-20T03:28:31.787    	
SOPHIE.2020-10-16T00:49:52.709_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-10-16T00:40:20.833    	
SOPHIE.2020-12-12T19:44:00.176_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-12-12T19:36:21.002    	
SOPHIE.2020-12-19T02:05:30.529_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-12-19T01:50:32.973    	
SOPHIE.2020-10-27T23:56:38.543_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-10-27T23:46:19.747    	
SOPHIE.2020-12-21T00:02:27.762_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-12-20T23:56:39.814    	
SOPHIE.2021-03-05T20:42:13.501_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-03-05T20:24:12.146    	
SOPHIE.2021-01-29T19:59:32.497_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-01-29T19:45:25.710    	
SOPHIE.2020-11-27T22:36:36.351_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-11-27T22:26:16.436    	
SOPHIE.2021-12-15T21:12:36.905_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-12-15T20:58:43.854    	
SOPHIE.2021-10-19T00:18:21.279_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-10-19T00:08:55.596    	
SOPHIE.2020-09-15T03:52:12.510_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-09-15T03:44:35.524    	
SOPHIE.2021-12-11T20:11:05.999_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-12-11T19:50:47.408    	
SOPHIE.2021-10-16T23:10:42.176_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-10-16T23:01:08.889    	
SOPHIE.2021-11-05T22:37:39.665_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-11-05T22:27:14.579    	
SOPHIE.2020-11-29T23:06:40.082_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-11-29T23:00:40.901    	
SOPHIE.2021-08-26T03:40:02.941_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-08-26T03:26:50.039    	
SOPHIE.2020-08-23T03:33:36.345_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-08-23T03:20:53.242    	
SOPHIE.2020-10-30T00:22:32.818_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-10-30T00:09:03.305    	
SOPHIE.2021-12-02T22:54:20.070_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-12-02T22:34:11.661    	
SOPHIE.2021-03-01T20:34:01.798_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-03-01T20:19:10.080    	
SOPHIE.2021-09-18T00:37:07.304_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2021-09-18T00:25:40.182    	
SOPHIE.2020-11-30T23:19:43.556_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-11-30T23:13:07.643    	
SOPHIE.2021-09-01T01:27:19.384_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-09-01T01:16:21.148    	
SOPHIE.2020-10-25T00:21:17.016_ccf_G2_A.fits   	TOI1736               	STAR,SKY,G5          	2020-10-25T00:08:10.741    	
SOPHIE.2021-11-24T01:32:43.543_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-11-24T01:17:24.380    	
SOPHIE.2021-12-06T01:21:22.611_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-12-06T01:03:03.037    	
SOPHIE.2021-08-29T03:10:38.121_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-08-29T02:55:40.252    	
SOPHIE.2021-10-23T23:48:11.772_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-10-23T23:38:29.439    	
SOPHIE.2020-11-16T22:16:44.983_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2020-11-16T21:57:54.535    	
SOPHIE.2021-10-12T02:03:34.102_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-10-12T01:46:51.719    	
SOPHIE.2021-12-16T21:26:27.212_ccf_G2_A.fits	TOI1736               	STAR,SKY,G5          	2021-12-16T21:14:37.684    	
