,rjd,vrad,svrad,vrad_corr_gb,vrad_corr_mc
2,9057.435615260154,-8.596345395368132,2.67127515298996,-2.0833356771957705,-13.502701384342325
3,9080.354429199826,16.69797115653182,3.71123808394106,23.477966503887345,11.276213983524089
4,9020.468282590155,34.25526810353219,3.02282021455055,40.53930172512008,30.64351908482273
5,9018.487187029794,-36.088722579467714,3.13592696973387,-29.143790613684438,-39.40488558552363
6,9056.435177769978,13.970870547829861,2.88722364017798,20.0065545907467,9.088163596954347
7,9140.36151095992,-35.22037492166774,3.4817314108937,-28.896924112310046,-40.316689021977
8,9059.39879408013,-6.850426634468221,3.68811933927065,0.12482683642562731,-11.803189611549152
9,9040.421267679892,35.2973852990317,2.31042969688217,41.8709145478116,30.759418652668852
11,9019.483081929851,7.094795348631777,2.82473421207788,13.535973825461092,3.63004152827088
12,9141.294645179994,-14.196913127968003,3.29547027333666,-8.306702127879234,-19.285347587090378
13,9016.52095289994,40.52233155173113,3.80067324656247,47.10767686833494,37.4995371837236
14,9039.430751889944,20.165348447932274,3.09245370618605,26.64200862436705,15.645903335016687
15,9061.422135499772,-34.874671253970035,3.6921707553906,-28.167027799507064,-39.87526338458587
16,9003.493197369855,-56.165549150367866,4.16057714167324,-49.8968033492699,-57.91509225685936
17,9139.314058559947,23.98903260803209,2.86945486110165,30.55342647190557,18.883873532482866
