SOPHIE.2023-09-09T02:27:00.629_ccf_G2_A.fits	HD9407                	-33.2070897278847      	0.451766157035623     	7.3899672123981          	44.6494911855019             	-0.0346666666666522      	16.7071666898082     	64.0961126258639            	70.7320303921007            	87.9731777452292            	103.4151635077              	98.8534341877724            	115.751017432893            	113.431610132326            	119.329587248397            	106.030737791657            	136.160486100854            	144.534795019494             	150.809684178102             	149.671424637379             	165.102133734917             	168.086452625327             	169.27506714851              	180.514597306042             	182.43838466473              	183.637797989769             	193.061009250809             	203.58904258776              	198.282053789392             	208.205812778388             	216.796367393789             	220.571961761703             	220.846999000023             	228.552438821322             	227.311951288444             	234.24298460721              	240.568719037389             	237.00618557381              	246.743166236687             	246.374573154612             	241.176946653799             	249.27813685987              	243.327522080635             	247.122245738021             	241.053004899483             	213.114299595876             	2023-09-09T02:16:42.716    	2460196.59952221    	
SOPHIE.2023-09-09T02:33:58.441_ccf_G2_A.fits	HD9407                	-33.247262569261       	0.627860351552287     	9.31072306079314         	35.7822366279247             	-0.0309999999999775      	16.7013409127128     	70.0329214645267            	77.5728677704842            	94.9003452939728            	111.61993589935             	104.691647280572            	124.434677664852            	119.443548654533            	128.934088800848            	111.607176762136            	144.104697462981            	150.898539601267             	160.444888135537             	158.444665122846             	170.155364385437             	171.661339642769             	176.116233190753             	184.443810149318             	188.59948895929              	189.698726790444             	198.939228922245             	210.679827172453             	203.71334853727              	213.055459932269             	221.978425980016             	228.932252981268             	227.948371607048             	236.792073782715             	234.474260507911             	241.957974821181             	248.178115370498             	244.318166548153             	254.096788389564             	253.458331594508             	247.265488514857             	257.418541988332             	251.029298292535             	255.590023185243             	249.399492984344             	222.136105725707             	2023-09-09T02:29:30.349    	2460196.60638602    	
SOPHIE.2023-02-07T19:31:23.379_ccf_G2_A.fits   	HD9407                	-33.2066471061269      	0.892119768182421     	7.40314713459881         	43.6036593583517             	-0.0353333333333197      	-18.0297230770803    	29.7796069757258            	33.1034667340014            	42.1780061130136            	49.0420089430224            	49.1655441059331            	56.0154249883383            	54.3059747112825            	58.839114290207             	52.2151243992149            	67.9014423144964            	72.4354500486365             	76.0699465380855             	74.4763215423001             	84.7952000400619             	85.5202624483175             	87.1433865041255             	93.9407339537794             	94.6302075682607             	96.4520654388282             	101.015089197206             	106.627922547753             	105.884486111462             	109.4699825211               	115.709813716174             	117.76498066912              	117.852315405605             	121.937345330742             	121.25989890468              	125.699745174482             	129.403057315117             	128.773798297504             	133.279273542188             	133.387153662635             	131.703624564641             	135.679733793077             	135.231539663471             	135.68680489397              	132.565859677632             	116.742684180057             	2023-02-07T19:21:01.589    	2459983.31021669    	
SOPHIE.2022-01-07T18:40:40.779_ccf_G2_A.fits   	HD9407                	-33.2096876424974      	0.771797705970159     	7.38972297791792         	43.3449411059137             	-0.0339999999999918      	-14.0337624001415    	37.6811177217292            	41.537588610742             	52.3743436893059            	59.9370488636113            	59.8278828314655            	68.0324978619896            	65.9686606613366            	70.7040625274848            	62.787521639249             	81.0908304534858            	85.9105920375166             	89.9354137809374             	88.2483426119266             	99.6641204138014             	100.237331354931             	101.992415713237             	109.614015631561             	110.324925932433             	111.542472054174             	117.162409608469             	123.441484288596             	122.468891478414             	126.197957673031             	133.252160487956             	135.424982335824             	135.356176863109             	139.88314975323              	139.146380367675             	144.113832026233             	148.115640113213             	147.800073158698             	152.297956441745             	152.517716039902             	150.418206558576             	155.028297653275             	154.548250957123             	154.9201943818               	151.343016393931             	134.297550978937             	2022-01-07T18:30:22.447    	2459587.27672336    	
SOPHIE.2022-01-07T18:51:14.876_ccf_G2_A.fits   	HD9407                	-33.2548778319638      	1.21614072748938      	9.32683402649061         	33.6641951920449             	-0.0234999999999843      	-14.0426246924314    	37.6421657022749            	41.6139685387069            	51.0042970588925            	58.8533388158479            	56.1918737652215            	65.4205278943329            	63.887589985685             	67.0957423237906            	59.516794224452             	76.3128976038199            	80.6841382223819             	84.2288101761519             	83.5148288439231             	92.1339838579091             	93.8341425123965             	94.7448637650797             	101.255147647451             	102.347518008492             	103.273827395134             	108.425479229903             	114.456833343681             	111.992715061699             	117.350083536525             	122.264058922707             	124.704811534204             	125.380682847234             	129.837780189707             	129.333755478238             	133.556614777051             	137.333793135615             	136.204059000833             	140.649629982401             	140.673043139918             	138.528593087438             	143.463257311735             	142.121447490857             	143.57075043336              	140.573229579766             	124.952838493281             	2022-01-07T18:46:45.908    	2459587.28607478    	
SOPHIE.2023-02-15T21:42:15.071_ccf_G2_A.fits	HD9407                	-33.2072271689348      	0.866013880849142     	7.48320378443918         	42.7497803206047             	-0.0381666666666689      	-18.2590898650338    	12.7795025339288            	15.5372202051183            	22.0808335546523            	28.15611626687              	30.5303856972104            	37.2649980913226            	38.4327205632446            	44.2099780970685            	41.119525086982             	56.2533093894244            	62.421952213244              	68.1685046974051             	69.0034148762826             	80.9689591770754             	83.8744797821185             	87.5117206633275             	96.2933525081739             	99.0554960813801             	102.772496273456             	109.138392034833             	116.520420557042             	117.259889967008             	122.005179103464             	130.442661742443             	133.68965662062              	134.622556341727             	139.993374367844             	139.594076593428             	144.938086431211             	149.776276132653             	149.403961351749             	154.614691602235             	155.029072037896             	152.73020205799              	157.440097323527             	156.517463674611             	156.628739331291             	152.809459152293             	132.582040374925             	2023-02-15T21:31:55.160    	2459991.40062026    	
SOPHIE.2023-01-13T21:11:02.057_ccf_G2_A.fits	HD9407                	-33.206100642162       	0.738772173370931     	7.40393200331286         	43.8794846990699             	-0.0339999999999776      	-15.2084124603482    	35.8797917613583            	39.8745529505144            	50.621911572301             	58.4322337922492            	58.6061838222509            	66.9570012446913            	65.0721359543491            	70.1172172524309            	62.4103783139227            	81.14347159314              	86.443690288158              	90.7200333978303             	89.1254570898591             	101.232258469998             	102.112644164786             	104.035792440514             	112.128342287186             	112.95851720769              	114.906814262403             	120.735599096487             	127.382271176224             	126.586950801452             	130.568945550907             	138.347270159828             	140.847012974846             	140.851853552126             	145.880535307391             	145.00666012009              	150.314253050384             	154.892843786622             	154.187588853748             	159.695834655526             	160.00273628948              	157.992394631475             	163.115407169569             	162.474824796794             	163.157393768757             	159.604694959943             	141.144506369713             	2023-01-13T21:00:47.059    	2459958.3808851     	
SOPHIE.2023-12-17T20:55:31.383_ccf_G2_A.fits   	HD9407                	-33.2037310128312      	0.480998708189811     	7.39904254927104         	44.5300652158101             	-0.0324999999999775      	-8.81551019159134    	60.7827147980986            	66.4975736225056            	83.8270881337251            	95.6219925296602            	94.8047899157377            	108.179914812184            	105.385231628622            	111.878230107234            	99.2340699300989            	128.66057555046             	135.467563846345             	141.767793593683             	139.570519693614             	156.036579104002             	157.22239701523              	159.434456716779             	171.143035618058             	172.194455211718             	173.337917076966             	182.482469767489             	192.23268759532              	190.253685449639             	196.563133447304             	206.245991788042             	209.928895660102             	209.30967010436              	216.164221928524             	214.646732461254             	222.060703694791             	227.982489892158             	226.259299845455             	234.021113863446             	233.502859754551             	229.743393394256             	236.013617155551             	234.389379866294             	234.529156411952             	228.511938134085             	201.782879409171             	2023-12-17T20:45:07.951    	2460296.3711061     	
SOPHIE.2023-09-30T22:59:17.697_ccf_G2_A.fits	HD9407                	-33.2051719770182      	0.406018671086598     	7.38981605270241         	44.7026600532619             	-0.0323333333333622      	13.4740099207579     	71.2662750599119            	78.7922613777077            	98.0363528842908            	114.594977008886            	109.889735056216            	128.453195819527            	125.840097297656            	131.975815613699            	117.170289000487            	150.764576229661            	159.834543588655             	166.859655396479             	165.347653056967             	182.639071349475             	185.640147793435             	187.008894194294             	199.569935492518             	201.437511601327             	202.753603756388             	213.04662719847              	224.168230570427             	219.365756581183             	229.639269042956             	239.133594691759             	243.244651092195             	243.508343437492             	251.873589123487             	250.381778819523             	258.13092169369              	265.27727439969              	260.579763735882             	272.087180407515             	271.463574577409             	265.899258225419             	274.526253312408             	267.460551513397             	272.748893989819             	266.012921512975             	235.056647582213             	2023-09-30T22:43:58.451    	2460218.45462711    	
SOPHIE.2023-10-10T23:33:25.412_ccf_G2_A.fits	HD9407                	-33.2073635478507      	0.530055028714709     	7.391388622383           	44.5066748085764             	-0.0344999999999871      	11.255607099839      	54.4157877672234            	60.160276213892             	75.2372160837499            	87.8590238497578            	84.3674472702321            	98.6319546408987            	96.5179300597909            	101.30273306353             	89.8328047016341            	115.963420519377            	122.998709839691             	128.637871654575             	127.541756904195             	140.975045097459             	143.398127382213             	144.697329207957             	154.491453772292             	155.927950026662             	157.130324701041             	165.132405330481             	174.040159325395             	170.733008191097             	178.163827017352             	185.857368184342             	189.240306128391             	189.572720964667             	196.119983120882             	195.013341907689             	201.299757597624             	207.028860757445             	204.429609673354             	212.540600966378             	212.098209506566             	207.945358446454             	214.590795119785             	210.525200498134             	213.41879732139              	208.136392116433             	184.277294242913             	2023-10-10T23:23:03.178    	2460228.48044571    	
