SOPHIE.2019-02-15T01:25:35.641_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-02-15T01:15:14.787    	
SOPHIE.2020-02-18T01:56:34.005_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-18T01:41:12.793    	
SOPHIE.2019-03-14T23:40:28.491_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-14T23:30:23.894    	
SOPHIE.2018-11-18T04:05:01.083_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-11-18T03:54:39.619    	
SOPHIE.2018-05-03T23:10:15.051_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-05-03T22:55:19.399    	
SOPHIE.2019-01-14T02:41:41.631_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-14T02:31:21.500    	
SOPHIE.2020-11-22T04:22:30.894_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-11-22T04:12:06.681    	
SOPHIE.2020-01-04T03:11:46.774_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-01-04T03:01:42.963    	
SOPHIE.2018-11-26T04:51:54.046_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-11-26T04:41:32.665    	
SOPHIE.2021-05-19T20:31:09.212_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-19T20:20:47.387    	
SOPHIE.2018-12-04T04:52:19.603_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-12-04T04:41:58.301    	
SOPHIE.2021-02-04T01:41:08.815_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-02-04T01:21:00.780    	
SOPHIE.2020-03-04T22:51:04.705_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-03-04T22:40:49.550    	
SOPHIE.2018-05-31T20:30:17.178_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-05-31T20:19:55.863    	
SOPHIE.2019-05-13T20:12:48.334_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-13T20:02:26.091    	
SOPHIE.2018-12-08T04:13:16.060_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-12-08T04:03:09.516    	
SOPHIE.2020-02-22T01:38:54.788_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-22T01:18:33.312    	
SOPHIE.2020-01-08T03:20:48.659_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-01-08T03:10:42.632    	
SOPHIE.2020-01-08T05:30:29.587_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-01-08T05:20:23.088    	
SOPHIE.2021-05-17T20:23:31.430_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2021-05-17T20:13:09.545    	
SOPHIE.2019-05-21T21:37:24.503_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-05-21T21:27:20.947    	
SOPHIE.2020-11-18T04:14:02.395_ccf_G2_A.fits   	HD88986               	STAR,FP,G2           	2020-11-18T04:03:40.784    	
SOPHIE.2018-04-26T22:37:43.572_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-04-26T22:27:37.035    	
SOPHIE.2019-03-10T21:58:24.307_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-10T21:48:22.723    	
SOPHIE.2020-02-14T01:21:23.761_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-02-14T01:11:03.261    	
SOPHIE.2019-01-18T04:47:55.026_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-01-18T04:37:32.602    	
SOPHIE.2021-05-04T21:12:25.914_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-05-04T21:02:04.470    	
SOPHIE.2018-04-07T22:54:18.554_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-04-07T22:44:00.536    	
SOPHIE.2020-12-11T04:19:10.708_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-12-11T03:58:57.819    	
SOPHIE.2018-12-15T04:20:50.760_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-12-15T04:10:30.403    	
SOPHIE.2021-04-25T22:10:51.283_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2021-04-25T22:00:30.646    	
SOPHIE.2020-01-27T02:48:18.149_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-01-27T02:32:57.006    	
SOPHIE.2018-01-29T01:09:34.359_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2018-01-29T00:59:22.819    	
SOPHIE.2019-03-03T20:57:54.536_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2019-03-03T20:47:45.889    	
SOPHIE.2020-12-23T03:11:04.754_ccf_G2_A.fits	HD88986               	STAR,FP,G2           	2020-12-23T03:00:42.241    	
