SOPHIE.2020-03-10T00:39:51.253_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-03-10T00:14:29.376    	
SOPHIE.2021-12-15T05:21:48.164_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2021-12-15T04:56:28.588    	
SOPHIE.2020-03-11T01:41:25.243_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-03-11T01:16:02.523    	
SOPHIE.2020-07-26T21:52:53.742_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-07-26T21:27:31.800    	
SOPHIE.2020-12-14T05:19:15.753_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2020-12-14T04:57:16.926    	
SOPHIE.2020-10-26T18:15:00.765_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-10-26T17:48:04.573    	
SOPHIE.2021-03-05T01:30:46.249_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2021-03-05T01:05:30.211    	
SOPHIE.2021-12-20T05:23:48.508_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2021-12-20T05:01:37.688    	
SOPHIE.2021-12-22T04:59:36.453_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2021-12-22T04:34:22.598    	
SOPHIE.2020-06-19T22:30:41.570_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2020-06-19T22:05:17.621    	
SOPHIE.2020-06-17T22:48:47.783_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-06-17T22:28:25.065    	
SOPHIE.2020-07-25T21:15:56.160_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-07-25T20:50:56.620    	
SOPHIE.2020-10-17T18:20:34.417_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-10-17T17:53:33.279    	
SOPHIE.2020-02-08T02:45:15.112_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2020-02-08T02:19:55.366    	
SOPHIE.2021-04-23T00:19:22.894_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2021-04-22T23:54:13.630    	
SOPHIE.2020-07-28T20:58:27.337_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-07-28T20:33:05.858    	
SOPHIE.2020-03-07T23:35:20.785_ccf_G2_A.fits   	TOI1273               	STAR,SKY,G6          	2020-03-07T23:10:14.558    	
SOPHIE.2020-07-31T21:02:50.635_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2020-07-31T20:37:27.985    	
SOPHIE.2021-12-19T05:05:18.451_ccf_G2_A.fits	TOI1273               	STAR,SKY,G6          	2021-12-19T04:36:52.874    	
