SOPHIE.2021-08-13T22:27:03.341_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-08-13T22:17:59.022    	
SOPHIE.2021-10-12T19:40:46.725_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-10-12T19:27:41.622    	
SOPHIE.2021-05-28T00:17:31.058_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-05-28T00:10:18.223    	
SOPHIE.2021-10-18T18:54:17.729_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-10-18T18:48:07.851    	
SOPHIE.2020-10-08T18:11:17.249_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2020-10-08T18:04:47.076    	
SOPHIE.2020-11-29T17:17:31.312_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2020-11-29T17:12:26.971    	
SOPHIE.2021-08-25T21:54:51.887_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-08-25T21:45:44.530    	
SOPHIE.2020-10-29T18:35:34.417_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2020-10-29T18:11:01.270    	
SOPHIE.2020-10-11T20:21:25.807_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2020-10-11T19:57:07.035    	
SOPHIE.2021-09-17T19:14:52.476_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2021-09-17T19:08:48.592    	
SOPHIE.2021-05-09T02:41:42.789_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-05-09T02:26:19.611    	
SOPHIE.2021-05-03T01:16:54.149_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2021-05-03T01:02:29.147    	
SOPHIE.2021-05-06T02:24:51.189_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-05-06T02:13:41.022    	
SOPHIE.2021-04-25T01:52:42.751_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-04-25T01:39:31.994    	
SOPHIE.2020-10-16T18:44:08.814_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2020-10-16T18:36:10.680    	
SOPHIE.2021-07-09T00:43:46.696_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2021-07-09T00:32:05.588    	
SOPHIE.2021-09-10T22:10:09.378_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-09-10T22:01:39.985    	
SOPHIE.2020-10-24T19:56:58.242_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2020-10-24T19:40:02.889    	
SOPHIE.2021-08-28T22:49:56.933_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-08-28T22:39:58.154    	
SOPHIE.2020-09-25T20:12:36.816_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2020-09-25T19:56:21.493    	
SOPHIE.2021-10-23T18:56:32.626_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-10-23T18:51:03.787    	
SOPHIE.2020-10-05T20:17:43.707_ccf_K5_A.fits   	TOI2134               	STAR,SKY,K5          	2020-10-05T20:04:48.934    	
SOPHIE.2020-11-16T18:13:41.045_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2020-11-16T17:58:18.905    	
SOPHIE.2020-09-17T20:38:55.803_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2020-09-17T20:32:40.138    	
SOPHIE.2021-07-23T23:00:19.328_ccf_K5_A.fits	TOI2134               	STAR,SKY,K5          	2021-07-23T22:44:58.491    	
