source_id,solution_id,teff1,teff2,logg1,logg2,azero,mh,distancepc,log_pos,log_lik
2867224032558303744,8013174454512009251,5772.4595,5247.1587,4.768058,4.699186,0.021793425,0.08982966,57.516342,-5586.1353,-5591.399
2867224032558303744,8013174454512009251,5800.191,5206.591,4.7965593,4.573528,0.038989116,0.10189399,58.509575,-5998.035,-6005.2485
2867224032558303744,8013174454512009251,5801.124,5206.145,4.767664,4.6065345,0.007117953,0.107671276,58.584526,-5947.5527,-5954.634
2867224032558303744,8013174454512009251,5798.5513,5180.534,4.7971954,4.5462713,0.042623,0.10048891,58.50726,-6093.591,-6100.8066
2867224032558303744,8013174454512009251,5797.52,5209.012,4.8025355,4.564495,0.048104458,0.09832927,58.557163,-6086.562,-6093.8115
2867224032558303744,8013174454512009251,5730.6294,5107.8276,4.5931797,4.8217196,0.20403016,0.27333248,59.424297,-6298.8145,-6306.339
2867224032558303744,8013174454512009251,5801.8755,5177.3784,4.801373,4.5203466,0.038404543,0.10128768,58.743732,-6163.6914,-6170.945
2867224032558303744,8013174454512009251,5796.352,5203.142,4.791106,4.551343,0.03144902,0.102081336,58.6349,-6062.5454,-6069.7876
2867224032558303744,8013174454512009251,5799.124,5184.654,4.8005586,4.5350413,0.032440495,0.10011413,58.501305,-6033.556,-6040.8125
2867224032558303744,8013174454512009251,5663.7236,4983.6353,4.4993644,4.505334,0.03144271,0.12562564,59.613712,-6479.6997,-6489.0522
2867224032558303744,8013174454512009251,5721.57,5149.935,4.686434,4.510553,0.019983089,0.09954625,58.95326,-6298.5366,-6305.776
2867224032558303744,8013174454512009251,5705.247,5141.8813,4.673416,4.4952602,0.015509367,0.100419015,59.000156,-6195.7905,-6203.064
2867224032558303744,8013174454512009251,5709.7905,5146.8516,4.6811337,4.494295,0.0025206832,0.10349844,58.848686,-6001.484,-6008.7993
2867224032558303744,8013174454512009251,5643.0664,4965.085,4.497268,4.501073,0.03334049,0.12122543,58.995476,-6252.446,-6261.758
2867224032558303744,8013174454512009251,5725.111,5106.5825,4.597763,4.825582,0.21470156,0.2653013,59.070095,-6259.5933,-6267.1724
2867224032558303744,8013174454512009251,5798.5894,5239.1455,4.803247,4.6144605,0.068131134,0.100606665,58.512867,-6108.797,-6116.006
2867224032558303744,8013174454512009251,5704.27,5147.3545,4.669436,4.5027866,0.015908534,0.10240762,59.089993,-6211.46,-6218.705
2867224032558303744,8013174454512009251,5697.7695,5135.683,4.6746106,4.491833,0.001140375,0.10149024,58.68388,-5920.9204,-5928.248
2867224032558303744,8013174454512009251,5669.768,4973.7466,4.5007386,4.5070224,0.032710955,0.12952025,59.55758,-6479.4976,-6488.798
2867224032558303744,8013174454512009251,5800.6333,5238.99,4.766031,4.657875,4.7919527E-4,0.10775366,58.337532,-5710.0684,-5717.109
2867224032558303744,8013174454512009251,5630.181,5168.0215,4.5823956,4.5127497,0.024480803,0.10260627,59.734974,-6474.5176,-6484.602
2867224032558303744,8013174454512009251,5716.411,5142.711,4.682103,4.5130777,0.0035639345,0.10723851,58.798664,-6075.3623,-6082.6035
2867224032558303744,8013174454512009251,5628.2866,5171.359,4.582475,4.5094123,0.029135624,0.10124775,59.791008,-6539.6694,-6549.7627
2867224032558303744,8013174454512009251,5780.2856,5266.6445,4.792934,4.6944165,0.02424055,0.092807576,57.38813,-5500.518,-5505.8706
2867224032558303744,8013174454512009251,5709.2637,5148.3184,4.6729407,4.5028048,0.019962888,0.10236548,59.114002,-6317.072,-6324.307
2867224032558303744,8013174454512009251,5797.733,5256.021,4.800385,4.6266527,0.06749374,0.10340948,58.5517,-6092.057,-6099.254
2867224032558303744,8013174454512009251,5711.8877,5133.8564,4.681809,4.4974,5.034866E-4,0.10483948,58.754524,-5977.0303,-5984.322
2867224032558303744,8013174454512009251,5699.875,5153.142,4.6734905,4.496178,7.874558E-4,0.098837316,58.82144,-5827.885,-5835.2183
2867224032558303744,8013174454512009251,5709.944,5135.8184,4.682572,4.534495,0.0017873403,0.106727794,58.269836,-6029.7046,-6036.9165
2867224032558303744,8013174454512009251,5794.0454,5231.2334,4.7962785,4.6168866,0.056393642,0.09890277,58.37492,-6015.3184,-6022.4893
2867224032558303744,8013174454512009251,5799.1147,5212.2993,4.800688,4.5857906,0.0489534,0.101823255,58.479725,-6058.08,-6065.2935
2867224032558303744,8013174454512009251,5701.399,5167.3975,4.671278,4.501375,9.901151E-4,0.10521773,58.9941,-5928.9326,-5936.238
2867224032558303744,8013174454512009251,5654.3105,4995.951,4.501682,4.499969,0.024852153,0.119887255,59.54352,-6404.4287,-6413.876
2867224032558303744,8013174454512009251,5800.2734,5185.0327,4.8073096,4.527982,0.033896666,0.099957466,58.432022,-6036.1855,-6043.461
2867224032558303744,8013174454512009251,5795.1304,5274.804,4.8151736,4.6311884,0.0703524,0.09149058,58.439575,-6105.833,-6113.0894
2867224032558303744,8013174454512009251,5798.1787,5206.4077,4.7997255,4.5697703,0.03321062,0.09948377,58.34482,-5922.572,-5929.8037
2867224032558303744,8013174454512009251,5789.9756,5275.867,4.8039503,4.6346145,0.06986663,0.0951697,58.517735,-6112.558,-6119.7905
2867224032558303744,8013174454512009251,5801.42,5195.0703,4.80468,4.5506654,0.045343924,0.101339445,58.532433,-6089.0015,-6096.2305
2867224032558303744,8013174454512009251,5727.4966,5134.282,4.688024,4.505712,0.02240135,0.101444066,59.024227,-6376.363,-6383.5713
2867224032558303744,8013174454512009251,5776.6216,5240.3047,4.771649,4.6863055,0.015959645,0.09400263,57.51849,-5552.4536,-5557.745
2867224032558303744,8013174454512009251,5795.84,5207.9175,4.799867,4.562208,0.036269005,0.10101812,58.445835,-6009.6265,-6016.8794
2867224032558303744,8013174454512009251,5713.503,5140.199,4.679988,4.5038624,0.0024235235,0.1037084,58.84641,-5977.7603,-5985.0327
2867224032558303744,8013174454512009251,5798.414,5186.786,4.7972636,4.543085,0.04609119,0.10008589,58.589336,-6106.752,-6113.9785
2867224032558303744,8013174454512009251,5800.748,5204.622,4.808999,4.555941,0.051605098,0.09834269,58.540737,-6115.7134,-6122.9663
2867224032558303744,8013174454512009251,5800.095,5128.8735,4.8024135,4.50281,0.044652075,0.09748553,58.34996,-6098.337,-6105.5405
2867224032558303744,8013174454512009251,5796.979,5192.362,4.802166,4.5233083,0.021607205,0.10091953,58.46525,-6002.077,-6009.3784
2867224032558303744,8013174454512009251,5800.9043,5207.5913,4.8081613,4.574665,0.037530582,0.100040615,58.25386,-5945.1235,-5952.3555
2867224032558303744,8013174454512009251,5701.1177,5135.703,4.67376,4.5001645,0.010522341,0.10138224,58.758907,-6045.5117,-6052.786
2867224032558303744,8013174454512009251,5625.38,5178.524,4.578021,4.5151224,0.009675205,0.10285727,59.57226,-6257.094,-6267.22
2867224032558303744,8013174454512009251,5794.2554,5206.9736,4.7954617,4.553701,0.033576794,0.10003891,58.577984,-6045.9766,-6053.2393
2867224032558303744,8013174454512009251,5706.785,5143.3013,4.67834,4.5038614,0.0019551404,0.106785215,58.719715,-6005.065,-6012.3423
2867224032558303744,8013174454512009251,5798.061,5204.799,4.7970004,4.556611,0.040434845,0.10093854,58.602104,-6052.9106,-6060.1533
2867224032558303744,8013174454512009251,5796.3457,5195.581,4.800938,4.5498667,0.041599907,0.09971626,58.455555,-6052.334,-6059.5737
2867224032558303744,8013174454512009251,5648.0312,4996.5024,4.500848,4.5121856,0.032769695,0.12731062,59.38304,-6557.0825,-6566.479
